一级分类名称,一级分类编码,二级分类名称,二级分类编码,三级分类名称,三级分类编码,三级分类链接,产品数量,48产品页数,采集时间
헤어케어,10000010004,헤어브러쉬,100000100040009,모발용,1000001000400090001,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000400090001&fltDispCatNo=&prdSort=01&pageIdx=1&rowsPerPage=24&searchTypeSort=btn_thumb&plusButtonFlag=N&isLoginCnt=0&aShowCnt=0&bShowCnt=0&cShowCnt=0&trackingCd=Cat1000001000400090001_Small,99,3,2021-12-16 12:06:13
헤어케어,10000010004,헤어브러쉬,100000100040009,두피용,1000001000400090002,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000400090002&fltDispCatNo=&prdSort=01&pageIdx=1&rowsPerPage=24&searchTypeSort=btn_thumb&plusButtonFlag=N&isLoginCnt=0&aShowCnt=0&bShowCnt=0&cShowCnt=0&trackingCd=Cat1000001000400090002_Small,28,1,2021-12-16 12:06:13
헤어케어,10000010004,염색약/펌,100000100040010, 전체,100000100040010,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=100000100040010&fltDispCatNo=&prdSort=01&pageIdx=1&rowsPerPage=24&searchTypeSort=btn_thumb&plusButtonFlag=N&isLoginCnt=0&aShowCnt=0&bShowCnt=0&cShowCnt=0&trackingCd=Cat100000100040010_Small,234,5,2021-12-16 12:06:15
헤어케어,10000010004,염색약/펌,100000100040010,컬러염색,1000001000400100001,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000400100001&fltDispCatNo=&prdSort=01&pageIdx=1&rowsPerPage=24&searchTypeSort=btn_thumb&plusButtonFlag=N&isLoginCnt=0&aShowCnt=0&bShowCnt=0&cShowCnt=0&trackingCd=Cat1000001000400100001_Small,183,4,2021-12-16 12:06:15
헤어케어,10000010004,염색약/펌,100000100040010,새치염색,1000001000400100002,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000400100002&fltDispCatNo=&prdSort=01&pageIdx=1&rowsPerPage=24&searchTypeSort=btn_thumb&plusButtonFlag=N&isLoginCnt=0&aShowCnt=0&bShowCnt=0&cShowCnt=0&trackingCd=Cat1000001000400100002_Small,68,2,2021-12-16 12:06:16
헤어케어,10000010004,염색약/펌,100000100040010,파마,1000001000400100003,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000400100003&fltDispCatNo=&prdSort=01&pageIdx=1&rowsPerPage=24&searchTypeSort=btn_thumb&plusButtonFlag=N&isLoginCnt=0&aShowCnt=0&bShowCnt=0&cShowCnt=0&trackingCd=Cat1000001000400100003_Small,6,1,2021-12-16 12:06:16
헤어케어,10000010004,염색약/펌,100000100040010,탈색,1000001000400100005,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000400100005&fltDispCatNo=&prdSort=01&pageIdx=1&rowsPerPage=24&searchTypeSort=btn_thumb&plusButtonFlag=N&isLoginCnt=0&aShowCnt=0&bShowCnt=0&cShowCnt=0&trackingCd=Cat1000001000400100005_Small,29,1,2021-12-16 12:06:17
헤어케어,10000010004,염색약/펌,100000100040010,헤어메이크업,1000001000400100006,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000400100006&fltDispCatNo=&prdSort=01&pageIdx=1&rowsPerPage=24&searchTypeSort=btn_thumb&plusButtonFlag=N&isLoginCnt=0&aShowCnt=0&bShowCnt=0&cShowCnt=0&trackingCd=Cat1000001000400100006_Small,40,1,2021-12-16 12:06:17
헤어케어,10000010004,스타일링,100000100040011, 전체,100000100040011,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=100000100040011&fltDispCatNo=&prdSort=01&pageIdx=1&rowsPerPage=24&searchTypeSort=btn_thumb&plusButtonFlag=N&isLoginCnt=0&aShowCnt=0&bShowCnt=0&cShowCnt=0&trackingCd=Cat100000100040011_Small,183,4,2021-12-16 12:06:18
헤어케어,10000010004,스타일링,100000100040011,왁스/젤/무스,1000001000400110001,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000400110001&fltDispCatNo=&prdSort=01&pageIdx=1&rowsPerPage=24&searchTypeSort=btn_thumb&plusButtonFlag=N&isLoginCnt=0&aShowCnt=0&bShowCnt=0&cShowCnt=0&trackingCd=Cat1000001000400110001_Small,116,3,2021-12-16 12:06:19
헤어케어,10000010004,스타일링,100000100040011,스프레이/픽서,1000001000400110002,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000400110002&fltDispCatNo=&prdSort=01&pageIdx=1&rowsPerPage=24&searchTypeSort=btn_thumb&plusButtonFlag=N&isLoginCnt=0&aShowCnt=0&bShowCnt=0&cShowCnt=0&trackingCd=Cat1000001000400110002_Small,73,2,2021-12-16 12:06:19
헤어케어,10000010004,탈모케어,100000100040012, 전체,100000100040012,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=100000100040012&fltDispCatNo=&prdSort=01&pageIdx=1&rowsPerPage=24&searchTypeSort=btn_thumb&plusButtonFlag=N&isLoginCnt=0&aShowCnt=0&bShowCnt=0&cShowCnt=0&trackingCd=Cat100000100040012_Small,118,3,2021-12-16 12:06:20
