표준 성분명,표준 영문명
아세토박터/아스퍼질러스/락토바실러스/류코노스톡/페디오코 쿠스/효모/지고사카로미세스/귤/둥근금감/유자/사과/바나나/ 파파야/배/감/수박/복숭아/매실/무화과/모과/비파나무열매/살 구/대추/호박/밤/머루/라즈베리/나한과/구기자/검정콩/팥/작 두콩/쌀/보리/율무/돌피씨/조/기장/원추리꽃/양배추잎/줄기/ 산뽕나무잎/자소엽/고구마/토란/중국얌뿌리줄기/이리데아 라 미나리오이데스/곤포/네마시스티스 데시피엔스/미역/무/순 무/당근/우엉/연근/양파/산나리비늘줄기/감초/벗풀뿌리/참깨/ 은행/주글란스 수브코르디포르미스열매/인삼씨/개다래/노루 궁뎅이버섯자실체/잎새버섯자실체/자두/으름덩굴열매/일본산 사나무열매/산수유/용안열매/어성초/쑥/얼룩조릿대잎/병꽃 풀/캐모마일꽃/쇠뜨기/결명자/서양민들레/이소도니스/홍화/ 차전초/야콘/마늘/생강/비트/베트남고수/강황/오가나무뿌리/ 잣/표고버섯자실체/목이버섯/비티스 라브루스카열매/돼지감 자발효추출물,"Acetobacter/Aspergillus/Lactobacillus/Leuconostoc/Pedi
ococcus/Saccharomyces/Zygosaccharomyces/Citrus Unshiu Fruit/Citrus Japonica Fruit/Citrus Junos Fruit/ Apple Fruit/Banana Fruit/Papaya Fruit/ Pyrus Serotina Fruit/ Diospyros Kaki Fruit/Watermelon Fruit/Peach Fruit/ Prunus Mume Fruit/Fig Fruit/Chaenomeles Sinensis Fruit/Eriobotrya Japonica Fruit/Apricot Fruit/ Zizyphus Jujuba Fruit/Cucurbita Maxima Fruit/Castanea Crenata Fruit/Vitis Coignetiae Fruit/Raspberry Fruit/Momordica Grosvenorii Fruit/Lycium Chinense Fruit/Glycine Max Seed/Phaseolus Angularis Seed/Canavalia Ensiformis Seed/Rice Seed/Hordeum Vulgare Seed/Coix Lachryma-Jobi Ma-Yuen Seed/Echinochloa Crus-Galli Seed/Setaria Italica Seed/Millet Seed/Hemerocallis Fulva Flower/Cabbage Leaf/Stem/Morus Bombycis Leaf/Perilla Frutescens Leaf/Ipomoea Batatas Root/Colocasia Antiquorum Tuber/Dioscorea Batatas Rhizome/Iridea Laminarioides/Laminaria Japonica/Nemacystus Decipiens/Undaria Pinnatifida/Radish Root/Turnip Root/Carrot Root/Arctium Lappa Root/Nelumbo Nucifera Rhizome/Onion Bulb/Lilium Auratum Bulb/Licorice Root/Sagittaria Trifolia Root/Sesame Seed/Ginkgo Biloba Seed/Juglans Subcordiformis Fruit/Panax Ginseng Seed/Actinidia Polygama Fruit/Hydnum Erinaceum Fruiting Body/Grifola Frondosa Fruiting Body/Prunus Salicina Fruit/Akebia Quinata Fruit/Crataegus Cuneata Fruit/Cornus Officinalis Fruit/Nephelium Longana Fruit/Houttuynia Cordata/Artemisia Princeps/Sasa Veitchii Leaf/Glechoma
Hederacea/Chamomilla Recutita Flower/Equisetum"
아세토박터/바실러스/감발효여과물,Acetobacter/Bacillus/Diospyros Kaki Fruit Ferment Filtrate
아세토박터/바실러스/락토바실러스/효모/쌀/보리/콩/양배추/ 상추/시금치/포도/사과/블루베리/딸기/라즈베리/덩굴월귤/선 백리향/로즈마리/부추/귤/빌베리/로즈힙/레몬그라스/케이프 카모마일/(녹두/팥)씨/(자두/매실/아사이야자)열매발효여과물,"Acetobacter/Bacillus/Lactobacillus/Saccharomyces/Rice/B arley/Soybean/Cabbage/Lettuce/Spinach/Grape/Apple/Bl ueberry/Strawberry/Raspberry/Cranberry/Thyme/Rosema ry/Allium Tuberosum/Citrus Unshiu/Vaccinium Myrtillus/Rosa Canina/Cymbopogon Schoenanthus/Eriocephalus Punctulatus/(Phaseolus Radiatus/Phaseolus Angularis) Seed/(Prunus
Salicina/Prunus Mume/Euterpe Oleracea) Fruit Ferment"
아세토박터/락토바실러스/유자/매실/석류/쌀발효여과물,Acetobacter/Lactobacillus/(Citrus Junos/Prunus Mume/Punica Granatum) Fruit/Rice Ferment Filtrate
아세토박터/구기자/지황/갯실새삼열매/육종용/초피나무열매/ 국화열매/복령/육계발효물,"Acetobacter/Lycium Chinense Fruit/Rehmannia Glutinosa
Root/Cuscuta Chinensis Fruit/Cistanche Deserticola/Zanthoxylum Piperitumit/Chrysanthemum Morifolium Fruit/Poria Cocos/ Cinnamomum Cassia
Ferment"
아세토박터/효모/(블랙초크베리/배)열매즙추출물발효여과물,Acetobacter/Saccharomyces/(Aronia Melanocarpa/Pyrus Serotina) Fruit Juice Extract Ferment Filtrate
아세토박터/효모/사과추출물/레몬추출물/포도주발효여과물,Acetobacter/Saccharomyces/Apple Fruit Extract/Lemon Fruit Extract/Wine Ferment Filtrate
아세토박터/효모/라즈베리추출물/석류추출물/포도주발효여과 물,Acetobacter/Saccharomyces/Raspberry Fruit Extract/Punica Granatum Fruit Extract/Wine Ferment Filtrate
아세톤,Acetone
아세텀,Acetum
아세틸알지닌,Acetyl Arginine
아세틸벤조일옥시프라스테론,Acetyl Benzoyloxy Prasterone
