三级类目名称,三级类目编码,三级类目产品数,页码,产品编码,产品链接,采集时间
 전체,100000100010008,645,2,A000000153418,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000153418&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,2,A000000136873,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000136873&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,2,A000000122661,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000122661&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,3,A000000158616,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000158616&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,3,A000000155398,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000155398&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,3,A000000153571,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000153571&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,3,A000000153188,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000153188&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,3,A000000143458,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000143458&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,3,A000000153694,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000153694&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,3,A000000152770,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000152770&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
